100000, 1, 8.8471e-05
100000, 2, 7.9995e-05
100000, 3, 6.4412e-05
100000, 4, 5.169e-05
100000, 5, 4.7475e-05
100000, 6, 4.4217e-05
100000, 7, 4.51009e-05
100000, 8, 3.9797e-05
100000, 9, 4.0191e-05
100000, 10, 4.0577e-05
100000, 11, 0.00012274
100000, 12, 0.00263903
100000, 13, 0.00255973
100000, 14, 0.00260584
100000, 15, 0.00248473
100000, 16, 0.00256086
100000, 17, 0.00255725
100000, 18, 0.00251343
100000, 19, 0.00242882
100000, 20, 0.00179121
100000, 21, 9.8335e-05
100000, 22, 9.82849e-05
100000, 23, 0.000103201
1000000, 1, 0.000792312
1000000, 2, 0.000477561
1000000, 3, 0.000289675
1000000, 4, 0.000220755
1000000, 5, 0.000183345
1000000, 6, 0.000155339
1000000, 7, 0.000147333
1000000, 8, 0.000132677
1000000, 9, 0.000121864
1000000, 10, 0.000113516
1000000, 11, 0.00222902
1000000, 12, 0.00216918
1000000, 13, 0.00361165
1000000, 14, 0.00208762
1000000, 15, 0.00359522
1000000, 16, 0.00283382
1000000, 17, 0.00258297
1000000, 18, 0.00253718
1000000, 19, 0.00456623
1000000, 20, 0.00355078
1000000, 21, 0.000492739
1000000, 22, 0.00020328
1000000, 23, 0.000181396
10000000, 1, 0.00839633
10000000, 2, 0.00428836
10000000, 3, 0.00285384
10000000, 4, 0.00216831
10000000, 5, 0.00176573
10000000, 6, 0.00147649
10000000, 7, 0.00131266
10000000, 8, 0.00115836
10000000, 9, 0.00105336
10000000, 10, 0.000975293
10000000, 11, 0.00345571
10000000, 12, 0.0049717
10000000, 13, 0.00484929
10000000, 14, 0.00472661
10000000, 15, 0.00465757
10000000, 16, 0.00292123
10000000, 17, 0.00454472
10000000, 18, 0.00446555
10000000, 19, 0.00446216
10000000, 20, 0.00437031
10000000, 21, 0.000957662
10000000, 22, 0.00126482
10000000, 23, 0.0012298
100000000, 1, 0.0833232
100000000, 2, 0.0420167
100000000, 3, 0.0282642
100000000, 4, 0.0213445
100000000, 5, 0.0182099
100000000, 6, 0.0153227
100000000, 7, 0.013213
100000000, 8, 0.0115282
100000000, 9, 0.0105013
100000000, 10, 0.00965797
100000000, 11, 0.00872168
100000000, 12, 0.0105366
100000000, 13, 0.0139524
100000000, 14, 0.0143207
100000000, 15, 0.0134448
100000000, 16, 0.0127374
100000000, 17, 0.0129481
100000000, 18, 0.0120961
100000000, 19, 0.0127632
100000000, 20, 0.0132578
100000000, 21, 0.0128393
100000000, 22, 0.0123619
100000000, 23, 0.0119851
1000000000, 1, 0.830431
1000000000, 2, 0.44312
1000000000, 3, 0.297614
1000000000, 4, 0.228417
1000000000, 5, 0.204557
1000000000, 6, 0.189819
1000000000, 7, 0.1737
1000000000, 8, 0.158348
1000000000, 9, 0.139488
1000000000, 10, 0.141887
1000000000, 11, 0.134852
1000000000, 12, 0.136134
1000000000, 13, 0.132637
1000000000, 14, 0.132595
1000000000, 15, 0.130276
1000000000, 16, 0.12355
1000000000, 17, 0.124594
1000000000, 18, 0.123472
1000000000, 19, 0.12183
1000000000, 20, 0.133723
1000000000, 21, 0.134524
1000000000, 22, 0.129567
1000000000, 23, 0.123865
